int_1;int_2;Number;Cumulative number;Percent of total;Aggregate amount;Average amount
0.01;4,999.99;17719251;17719251;10.30004;37324850994.65;2106.46
5,000.00;9,999.99;11166330;28885581;16.79092;82544092946.05;7392.23
10,000.00;14,999.99;9688022;38573603;22.42248;120596184287.88;12447.97
15,000.00;19,999.99;9004758;47578361;27.65686;157305695217.81;17469.18
20,000.00;24,999.99;8731938;56310299;32.73266;196479269468.85;22501.22
25,000.00;29,999.99;9047502;65357801;37.99189;248853191103.09;27505.18
30,000.00;34,999.99;9607391;74965192;43.57658;312121164372.59;32487.61
35,000.00;39,999.99;9502181;84467373;49.10011;356089106765.35;37474.46
40,000.00;44,999.99;8867642;93335015;54.25479;376454266278.39;42452.58
45,000.00;49,999.99;8067856;101402871;58.94456;382877319987.20;47457.13
50,000.00;54,999.99;7385606;108788477;63.23774;387258331132.31;52434.20
55,000.00;59,999.99;6494420;115282897;67.01289;373119724571.23;57452.36
60,000.00;64,999.99;5895611;121178508;70.43995;367993349745.63;62418.19
65,000.00;69,999.99;5159536;126338044;73.43914;347929354883.27;67434.23
70,000.00;74,999.99;4572082;130910126;76.09685;331175195617.84;72434.22
75,000.00;79,999.99;4056269;134966395;78.45473;314115478551.67;77439.51
80,000.00;84,999.99;3552685;138519080;80.51987;292887069894.01;82441.05
85,000.00;89,999.99;3105957;141625037;82.32533;271590495740.17;87441.81
90,000.00;94,999.99;2758389;144383426;83.92876;254957639729.06;92429.91
95,000.00;99,999.99;2447983;146831409;85.35175;238573169482.05;97457.04
100,000.00;104,999.99;2186317;149017726;86.62263;223936012967.60;102426.14
105,000.00;109,999.99;1902740;150920466;87.72868;204431352760.91;107440.51
110,000.00;114,999.99;1686577;152607043;88.70907;189648039044.95;112445.53
115,000.00;119,999.99;1518364;154125407;89.59168;178342781570.42;117457.20
120,000.00;124,999.99;1389426;155514833;90.39934;170104236717.34;122427.71
125,000.00;129,999.99;1231509;156746342;91.11521;156950614602.15;127445.77
130,000.00;134,999.99;1123273;157869615;91.76816;148746720015.61;132422.59
135,000.00;139,999.99;1004499;158874114;92.35206;138065333745.07;137446.96
140,000.00;144,999.99;914982;159789096;92.88393;130338400413.75;142449.14
145,000.00;149,999.99;834712;160623808;93.36914;123093570227.23;147468.31
150,000.00;154,999.99;763896;161387704;93.81319;116417892114.22;152400.19
155,000.00;159,999.99;686018;162073722;94.21197;108007272546.23;157440.87
160,000.00;164,999.99;625670;162699392;94.57566;101636588092.73;162444.40
165,000.00;169,999.99;574843;163274235;94.90981;96263179030.25;167459.95
170,000.00;174,999.99;525888;163800123;95.21551;90692521199.28;172455.96
175,000.00;179,999.99;477037;164277160;95.49280;84642752200.85;177434.35
180,000.00;184,999.99;434103;164711263;95.74514;79185896240.86;182412.69
185,000.00;189,999.99;389249;165100512;95.97141;72968307094.97;187459.20
190,000.00;194,999.99;358864;165459376;96.18001;69063729114.81;192450.98
195,000.00;199,999.99;338015;165797391;96.37650;66751280051.39;197480.23
200,000.00;249,999.99;2286931;168084322;97.70587;507986166818.73;222125.71
250,000.00;299,999.99;1222641;169306963;98.41658;333414807131.15;272700.50
300,000.00;349,999.99;748792;170055755;98.85185;241695373104.99;322780.39
350,000.00;399,999.99;480002;170535757;99.13087;179192150876.96;373315.43
400,000.00;449,999.99;328090;170863847;99.32158;138917421070.47;423412.54
450,000.00;499,999.99;232763;171096610;99.45689;110251142366.39;473662.66
500,000.00;999,999.99;704054;171800664;99.86615;465540270793.59;661228.07
1,000,000.00;1,499,999.99;118974;171919638;99.93531;142737546980.02;1199737.31
1,500,000.00;1,999,999.99;42362;171962000;99.95993;72678306973.39;1715648.62
2,000,000.00;2,499,999.99;20407;171982407;99.97179;45366481377.37;2223084.30
2,500,000.00;2,999,999.99;12127;171994534;99.97884;33077028896.75;2727552.48
3,000,000.00;3,499,999.99;7847;172002381;99.98340;25369444716.76;3233011.94
3,500,000.00;3,999,999.99;5328;172007709;99.98650;19897626154.46;3734539.44
4,000,000.00;4,499,999.99;3897;172011606;99.98877;16512310946.97;4237185.26
4,500,000.00;4,999,999.99;2909;172014515;99.99046;13771711656.67;4734173.82
5,000,000.00;9,999,999.99;11182;172025697;99.99696;75777854352.40;6776771.09
10,000,000.00;19,999,999.99;3712;172029409;99.99911;50153891703.09;13511285.48
20,000,000.00;49,999,999.99;1296;172030705;99.99987;37199621603.27;28703411.73
50,000,000.00;150,000,000.00;227;172030932;100.00000;22674775199.17;99888877.53
