bound_low,bound_high,number,percent,percent_cumul,average_amount
0.01,4999.99,17719251,10.30004,10.30004,2106.46
5000.0,9999.99,11166330,6.490880000000001,16.79092,7392.23
10000.0,14999.99,9688022,5.63156,22.42248,12447.97
15000.0,19999.99,9004758,5.234380000000002,27.65686,17469.18
20000.0,24999.99,8731938,5.075800000000001,32.73266,22501.22
25000.0,29999.99,9047502,5.259229999999995,37.99189,27505.18
30000.0,34999.99,9607391,5.584690000000002,43.57658,32487.61
35000.0,39999.99,9502181,5.523530000000001,49.10011,37474.46
40000.0,44999.99,8867642,5.154679999999999,54.25479,42452.58
45000.0,49999.99,8067856,4.689770000000003,58.94456,47457.13
50000.0,54999.99,7385606,4.2931799999999996,63.23774,52434.2
55000.0,59999.99,6494420,3.7751499999999965,67.01289,57452.36
60000.0,64999.99,5895611,3.4270599999999973,70.43995,62418.19
65000.0,69999.99,5159536,2.9991899999999987,73.43914,67434.23
70000.0,74999.99,4572082,2.6577100000000087,76.09685,72434.22
75000.0,79999.99,4056269,2.3578799999999944,78.45473,77439.51
80000.0,84999.99,3552685,2.0651399999999995,80.51987,82441.05
85000.0,89999.99,3105957,1.8054599999999965,82.32533,87441.81
90000.0,94999.99,2758389,1.603430000000003,83.92876,92429.91
95000.0,99999.99,2447983,1.4229899999999986,85.35175,97457.04
100000.0,104999.99,2186317,1.2708800000000053,86.62263,102426.14
105000.0,109999.99,1902740,1.1060499999999962,87.72868,107440.51
110000.0,114999.99,1686577,0.9803899999999999,88.70907,112445.53
115000.0,119999.99,1518364,0.8826099999999997,89.59168,117457.2
120000.0,124999.99,1389426,0.8076599999999985,90.39934,122427.71
125000.0,129999.99,1231509,0.7158700000000096,91.11521,127445.77
130000.0,134999.99,1123273,0.6529499999999899,91.76816,132422.59
135000.0,139999.99,1004499,0.5838999999999999,92.35206,137446.96
140000.0,144999.99,914982,0.531870000000012,92.88393,142449.14
145000.0,149999.99,834712,0.48520999999999503,93.36914,147468.31
150000.0,154999.99,763896,0.4440500000000043,93.81319,152400.19
155000.0,159999.99,686018,0.3987799999999879,94.21197,157440.87
160000.0,164999.99,625670,0.3636900000000054,94.57566,162444.4
165000.0,169999.99,574843,0.33414999999999395,94.90981,167459.95
170000.0,174999.99,525888,0.30570000000000164,95.21551,172455.96
175000.0,179999.99,477037,0.2772900000000078,95.4928,177434.35
180000.0,184999.99,434103,0.2523400000000038,95.74514,182412.69
185000.0,189999.99,389249,0.22626999999999953,95.97141,187459.2
190000.0,194999.99,358864,0.2085999999999899,96.18001,192450.98
195000.0,199999.99,338015,0.19648999999999717,96.3765,197480.23
200000.0,249999.99,2286931,1.3293700000000115,97.70587,222125.71
250000.0,299999.99,1222641,0.7107099999999917,98.41658,272700.5
300000.0,349999.99,748792,0.4352700000000027,98.85185,322780.39
350000.0,399999.99,480002,0.2790200000000027,99.13087,373315.43
400000.0,449999.99,328090,0.19070999999999572,99.32158,423412.54
450000.0,499999.99,232763,0.13531000000000404,99.45689,473662.66
500000.0,999999.99,704054,0.4092600000000033,99.86615,661228.07
1000000.0,1499999.99,118974,0.06915999999999656,99.93531,1199737.31
1500000.0,1999999.99,42362,0.024619999999998754,99.95993,1715648.62
2000000.0,2499999.99,20407,0.01185999999999865,99.97179,2223084.3
2500000.0,2999999.99,12127,0.007050000000006662,99.97884,2727552.48
3000000.0,3499999.99,7847,0.004559999999997899,99.9834,3233011.94
3500000.0,3999999.99,5328,0.0031000000000034333,99.9865,3734539.44
4000000.0,4499999.99,3897,0.0022699999999957754,99.98877,4237185.26
4500000.0,4999999.99,2909,0.0016899999999964166,99.99046,4734173.82
5000000.0,9999999.99,11182,0.006500000000002615,99.99696,6776771.09
10000000.0,19999999.99,3712,0.0021500000000003183,99.99911,13511285.48
20000000.0,49999999.99,1296,0.0007599999999996498,99.99987,28703411.73
50000000.0,150000000.0,227,0.0001299999999986312,100.0,99888877.53
