RunId,iteration,Step,width,height,density,minority_pc,homophily,k,policy,follow_policy,perc_happy,segregation
0,0,20,50,50,0.75,0.4,3,1,random,0.0,1.0,0.6612137203166227
1,0,19,50,50,0.75,0.4,3,1,random,0.1,1.0,0.6542553191489362
5,0,21,50,50,0.75,0.4,3,1,random,0.5,1.0,0.6600633914421553
7,0,22,50,50,0.75,0.4,3,1,random,0.7,1.0,0.6635752688172043
22,0,20,50,50,0.75,0.4,3,1,minimum_improvement,0.0,1.0,0.6636146496815286
2,0,26,50,50,0.75,0.4,3,1,random,0.2,1.0,0.6549652963160705
3,0,20,50,50,0.75,0.4,3,1,random,0.3,1.0,0.6685514270328486
9,0,25,50,50,0.75,0.4,3,1,random,0.9,1.0,0.6518046709129511
4,0,23,50,50,0.75,0.4,3,1,random,0.4,1.0,0.6523605150214592
44,0,20,50,50,0.75,0.4,3,1,similar_neighborhood,0.0,1.0,0.6516675489677077
8,0,20,50,50,0.75,0.4,3,1,random,0.8,1.0,0.6691666666666667
55,0,20,50,50,0.75,0.4,3,1,different_neighborhood,0.0,1.0,0.6596661281637048
33,0,24,50,50,0.75,0.4,3,1,recently_emptied,0.0,1.0,0.6614411441144115
6,0,30,50,50,0.75,0.4,3,1,random,0.6,1.0,0.6736702127659574
46,0,20,50,50,0.75,0.4,3,1,similar_neighborhood,0.2,1.0,0.6862903225806452
10,0,34,50,50,0.75,0.4,3,1,random,1.0,1.0,0.650392670157068
11,0,31,50,50,0.75,0.4,3,1,distance_relevance,0.0,1.0,0.6581905781584583
23,0,27,50,50,0.75,0.4,3,1,minimum_improvement,0.1,1.0,0.6484582668793195
45,0,23,50,50,0.75,0.4,3,1,similar_neighborhood,0.1,1.0,0.6715921192758253
48,0,18,50,50,0.75,0.4,3,1,similar_neighborhood,0.4,1.0,0.6985254691689008
54,0,4,50,50,0.75,0.4,3,1,similar_neighborhood,1.0,1.0,0.7615902964959569
53,0,19,50,50,0.75,0.4,3,1,similar_neighborhood,0.9,1.0,0.7555137170521786
31,0,11,50,50,0.75,0.4,3,1,minimum_improvement,0.9,1.0,0.561490359562272
47,0,31,50,50,0.75,0.4,3,1,similar_neighborhood,0.3,1.0,0.6972327726532827
25,0,25,50,50,0.75,0.4,3,1,minimum_improvement,0.3,1.0,0.6281877373846989
26,0,32,50,50,0.75,0.4,3,1,minimum_improvement,0.4,1.0,0.6203252032520326
