RunId,iteration,Step,width,height,density,minority_pc,homophily,policy,follow_policy,perc_happy,segregation
0,0,26,50,50,0.75,0.4,3,similar_neighborhood,0.0,1.0,0.6614194236926361
22,1,31,50,50,0.75,0.4,3,similar_neighborhood,0.0,1.0,0.6514216738197425
33,1,20,50,50,0.75,0.4,3,different_neighborhood,0.0,1.0,0.6634563937934724
55,2,24,50,50,0.75,0.4,3,different_neighborhood,0.0,1.0,0.6639914392723382
11,0,32,50,50,0.75,0.4,3,different_neighborhood,0.0,1.0,0.650348712446352
44,2,31,50,50,0.75,0.4,3,similar_neighborhood,0.0,1.0,0.6595628415300546
12,0,23,50,50,0.75,0.4,3,different_neighborhood,0.1,1.0,0.6549520766773163
35,1,25,50,50,0.75,0.4,3,different_neighborhood,0.2,1.0,0.6517139796464917
14,0,24,50,50,0.75,0.4,3,different_neighborhood,0.3,1.0,0.6520107238605898
37,1,33,50,50,0.75,0.4,3,different_neighborhood,0.4,1.0,0.660827186512118
13,0,71,50,50,0.75,0.4,3,different_neighborhood,0.2,1.0,0.6455304254173398
57,2,112,50,50,0.75,0.4,3,different_neighborhood,0.2,1.0,0.6568627450980392
39,1,41,50,50,0.75,0.4,3,different_neighborhood,0.6,1.0,0.680526590198123
38,1,40,50,50,0.75,0.4,3,different_neighborhood,0.5,1.0,0.6777364505844846
66,3,29,50,50,0.75,0.4,3,similar_neighborhood,0.0,1.0,0.6554126473740621
41,1,17,50,50,0.75,0.4,3,different_neighborhood,0.8,1.0,0.6792328042328042
42,1,45,50,50,0.75,0.4,3,different_neighborhood,0.9,1.0,0.6860095389507154
21,0,39,50,50,0.75,0.4,3,different_neighborhood,1.0,1.0,0.6953208556149733
34,1,200,50,50,0.75,0.4,3,different_neighborhood,0.1,0.9983974358974359,0.6485042735042735
19,0,126,50,50,0.75,0.4,3,different_neighborhood,0.8,1.0,0.6932651991614256
15,0,200,50,50,0.75,0.4,3,different_neighborhood,0.4,0.9989572471324296,0.6802659019812305
