RunId,iteration,Step,width,height,density,minority_pc,homophily,policy,follow_policy,perc_happy,segregation
11,0,17,50,50,0.75,0.4,3,maximum_improvement,0.0,1.0,0.6676454885210892
44,2,21,50,50,0.75,0.4,3,similar_neighborhood,0.0,1.0,0.6583467525496511
55,2,23,50,50,0.75,0.4,3,maximum_improvement,0.0,1.0,0.6441489361702127
21,0,4,50,50,0.75,0.4,3,maximum_improvement,1.0,1.0,0.7517558076715289
22,1,25,50,50,0.75,0.4,3,similar_neighborhood,0.0,1.0,0.6553732133403918
33,1,22,50,50,0.75,0.4,3,maximum_improvement,0.0,1.0,0.6632
43,1,6,50,50,0.75,0.4,3,maximum_improvement,1.0,1.0,0.7552334943639292
34,1,35,50,50,0.75,0.4,3,maximum_improvement,0.1,1.0,0.6675896624472574
57,2,21,50,50,0.75,0.4,3,maximum_improvement,0.2,1.0,0.6807953950811093
13,0,24,50,50,0.75,0.4,3,maximum_improvement,0.2,1.0,0.6750792811839323
12,0,24,50,50,0.75,0.4,3,maximum_improvement,0.1,1.0,0.680299842188322
14,0,22,50,50,0.75,0.4,3,maximum_improvement,0.3,1.0,0.6919666845781838
0,0,31,50,50,0.75,0.4,3,similar_neighborhood,0.0,1.0,0.6529569892473118
35,1,26,50,50,0.75,0.4,3,maximum_improvement,0.2,1.0,0.6857451403887689
37,1,19,50,50,0.75,0.4,3,maximum_improvement,0.4,1.0,0.6987459105779716
17,0,19,50,50,0.75,0.4,3,maximum_improvement,0.6,1.0,0.7271293375394322
56,2,27,50,50,0.75,0.4,3,maximum_improvement,0.1,1.0,0.6578099838969405
16,0,21,50,50,0.75,0.4,3,maximum_improvement,0.5,1.0,0.7162860250135944
20,0,17,50,50,0.75,0.4,3,maximum_improvement,0.9,1.0,0.759400544959128
39,1,20,50,50,0.75,0.4,3,maximum_improvement,0.6,1.0,0.7214360587002097
15,0,30,50,50,0.75,0.4,3,maximum_improvement,0.4,1.0,0.6901140684410646
38,1,25,50,50,0.75,0.4,3,maximum_improvement,0.5,1.0,0.7143047416089504
61,2,22,50,50,0.75,0.4,3,maximum_improvement,0.6,1.0,0.7346560846560847
41,1,22,50,50,0.75,0.4,3,maximum_improvement,0.8,1.0,0.7603550295857988
42,1,25,50,50,0.75,0.4,3,maximum_improvement,0.9,1.0,0.7526752273943286
63,2,26,50,50,0.75,0.4,3,maximum_improvement,0.8,1.0,0.7095430107526882
62,2,30,50,50,0.75,0.4,3,maximum_improvement,0.7,1.0,0.7090163934426229
59,2,35,50,50,0.75,0.4,3,maximum_improvement,0.4,1.0,0.6972780126849895
18,0,30,50,50,0.75,0.4,3,maximum_improvement,0.7,1.0,0.7319309600862999
36,1,42,50,50,0.75,0.4,3,maximum_improvement,0.3,1.0,0.6982851018220794
40,1,29,50,50,0.75,0.4,3,maximum_improvement,0.7,1.0,0.7294320594479831
58,2,30,50,50,0.75,0.4,3,maximum_improvement,0.3,1.0,0.6980118216012896
60,2,29,50,50,0.75,0.4,3,maximum_improvement,0.5,1.0,0.7214095744680851
19,0,40,50,50,0.75,0.4,3,maximum_improvement,0.8,1.0,0.7289402173913043
65,2,4,50,50,0.75,0.4,3,maximum_improvement,1.0,1.0,0.7467759269210102
66,3,21,50,50,0.75,0.4,3,similar_neighborhood,0.0,1.0,0.6588315217391304
64,2,22,50,50,0.75,0.4,3,maximum_improvement,0.9,1.0,0.7304079441760601
78,3,21,50,50,0.75,0.4,3,maximum_improvement,0.1,1.0,0.6690102758247701
87,3,6,50,50,0.75,0.4,3,maximum_improvement,1.0,1.0,0.7358967535923363
77,3,24,50,50,0.75,0.4,3,maximum_improvement,0.0,1.0,0.6717414529914529
86,3,16,50,50,0.75,0.4,3,maximum_improvement,0.9,1.0,0.7217935071846727
88,4,31,50,50,0.75,0.4,3,similar_neighborhood,0.0,1.0,0.6537007023230686
79,3,34,50,50,0.75,0.4,3,maximum_improvement,0.2,1.0,0.6753912574203994
80,3,26,50,50,0.75,0.4,3,maximum_improvement,0.3,1.0,0.6899245689655172
84,3,28,50,50,0.75,0.4,3,maximum_improvement,0.7,1.0,0.7231139646869984
83,3,24,50,50,0.75,0.4,3,maximum_improvement,0.6,1.0,0.7279924852388621
81,3,23,50,50,0.75,0.4,3,maximum_improvement,0.4,1.0,0.732161733615222
85,3,21,50,50,0.75,0.4,3,maximum_improvement,0.8,1.0,0.7388918629550322
82,3,30,50,50,0.75,0.4,3,maximum_improvement,0.5,1.0,0.7355339295107838
1,0,100,50,50,0.75,0.4,3,similar_neighborhood,0.1,0.9963235294117647,0.6605829831932774
45,2,100,50,50,0.75,0.4,3,similar_neighborhood,0.1,0.9963080168776371,0.6559862869198312
99,4,22,50,50,0.75,0.4,3,maximum_improvement,0.0,1.0,0.6474495217853348
23,1,100,50,50,0.75,0.4,3,similar_neighborhood,0.1,0.9967897271268058,0.6551631888710541
100,4,26,50,50,0.75,0.4,3,maximum_improvement,0.1,1.0,0.6679936305732485
103,4,22,50,50,0.75,0.4,3,maximum_improvement,0.4,1.0,0.6994764397905759
109,4,4,50,50,0.75,0.4,3,maximum_improvement,1.0,1.0,0.7490808823529411
110,5,19,50,50,0.75,0.4,3,similar_neighborhood,0.0,1.0,0.6510303687635575
101,4,29,50,50,0.75,0.4,3,maximum_improvement,0.2,1.0,0.6850477200424178
102,4,39,50,50,0.75,0.4,3,maximum_improvement,0.3,1.0,0.6962109167991521
108,4,23,50,50,0.75,0.4,3,maximum_improvement,0.9,1.0,0.7548556430446194
107,4,30,50,50,0.75,0.4,3,maximum_improvement,0.8,1.0,0.7290889717634523
105,4,31,50,50,0.75,0.4,3,maximum_improvement,0.6,1.0,0.7252240379546653
106,4,31,50,50,0.75,0.4,3,maximum_improvement,0.7,1.0,0.7415322580645162
104,4,40,50,50,0.75,0.4,3,maximum_improvement,0.5,1.0,0.7133689839572193
67,3,100,50,50,0.75,0.4,3,similar_neighborhood,0.1,0.9968304278922345,0.654648705758056
2,0,100,50,50,0.75,0.4,3,similar_neighborhood,0.2,0.9947033898305084,0.6504237288135594
121,5,42,50,50,0.75,0.4,3,maximum_improvement,0.0,1.0,0.6679144385026738
122,5,26,50,50,0.75,0.4,3,maximum_improvement,0.1,1.0,0.6817338282078473
89,4,100,50,50,0.75,0.4,3,similar_neighborhood,0.1,0.9962100703844071,0.6505143475906876
123,5,37,50,50,0.75,0.4,3,maximum_improvement,0.2,1.0,0.6629228329809725
124,5,30,50,50,0.75,0.4,3,maximum_improvement,0.3,1.0,0.684643995749203
125,5,29,50,50,0.75,0.4,3,maximum_improvement,0.4,1.0,0.7157258064516129
126,5,40,50,50,0.75,0.4,3,maximum_improvement,0.5,1.0,0.7057911065149949
127,5,31,50,50,0.75,0.4,3,maximum_improvement,0.6,1.0,0.7197089947089947
24,1,100,50,50,0.75,0.4,3,similar_neighborhood,0.2,0.9920297555791711,0.6506376195536663
111,5,100,50,50,0.75,0.4,3,similar_neighborhood,0.1,0.9968717413972888,0.6491136600625652
129,5,19,50,50,0.75,0.4,3,maximum_improvement,0.8,1.0,0.7318974630021141
128,5,38,50,50,0.75,0.4,3,maximum_improvement,0.7,1.0,0.7266129032258064
46,2,100,50,50,0.75,0.4,3,similar_neighborhood,0.2,0.9914848323576371,0.655401809473124
131,5,6,50,50,0.75,0.4,3,maximum_improvement,1.0,1.0,0.7513433637829124
132,6,29,50,50,0.75,0.4,3,similar_neighborhood,0.0,1.0,0.6597003154574133
130,5,20,50,50,0.75,0.4,3,maximum_improvement,0.9,1.0,0.7407211028632026
47,2,100,50,50,0.75,0.4,3,similar_neighborhood,0.3,0.9919441460794844,0.6393662728249194
